iter	RMSE
0	2.176762692
1	2.13674032
2	2.099703139
3	2.061378326
4	2.02940238
5	1.991727119
6	1.958802918
7	1.928216853
8	1.894645136
9	1.865415329
10	1.840691628
11	1.813846617
12	1.788840526
13	1.76263611
14	1.737982092
15	1.711455563
16	1.683968738
17	1.659621495
18	1.637122988
19	1.61622705
20	1.593302522
21	1.571738854
22	1.551375238
23	1.53345752
24	1.515334519
25	1.496079454
26	1.47756174
27	1.462000536
28	1.445052464
29	1.428274493
30	1.4130366
31	1.398556249
32	1.383343567
33	1.368050538
34	1.351954325
35	1.338292876
36	1.323838687
37	1.313822069
38	1.303066016
39	1.291196704
40	1.281568102
41	1.268980371
42	1.259753862
43	1.249069223
44	1.239633831
45	1.23082491
46	1.22288297
47	1.212990276
48	1.204335791
49	1.197104857
50	1.190855439
51	1.184443303
52	1.177681465
53	1.169447144
54	1.162306405
55	1.152428741
56	1.146454879
57	1.138647779
58	1.131984149
59	1.125151999
60	1.120066964
61	1.114393686
62	1.108938801
63	1.103393211
64	1.09859409
65	1.091874402
66	1.087469588
67	1.084341284
68	1.080769342
69	1.075716143
70	1.072474682
71	1.067493604
72	1.061776076
73	1.059083796
74	1.056703255
75	1.054133292
76	1.050244062
77	1.047327826
78	1.045285806
79	1.042555362
80	1.040748
81	1.036263808
82	1.033807159
83	1.03206328
84	1.029645254
85	1.027498371
86	1.025349347
87	1.019677199
88	1.017693647
89	1.015561748
90	1.013775938
91	1.011689167
92	1.010465513
93	1.005720473
94	0.9982383957
95	0.9945387975
96	0.9929010692
97	0.9915780054
98	0.9887213525
99	0.9875073056
100	0.9861858331
101	0.9846131999
102	0.9831454157
103	0.9782133217
104	0.9757106258
105	0.9739327829
106	0.9730961275
107	0.9689506806
108	0.967405486
109	0.9659423148
110	0.9642686804
111	0.9622321431
112	0.9590981538
113	0.9583772845
114	0.9576317143
115	0.9565757816
116	0.953261747
117	0.9506325496
118	0.9484927146
119	0.9467750629
120	0.9438529227
121	0.9427314121
122	0.9419390263
123	0.9407088663
124	0.939420786
125	0.9385002627
126	0.9369813129
127	0.9367254874
128	0.934119344
129	0.9320952099
130	0.9316396156
131	0.9309823027
132	0.9287294964
133	0.9249558909
134	0.92455864
135	0.921208635
136	0.9192353109
137	0.9185273325
138	0.9158087165
139	0.9140532815
140	0.9105966882
141	0.9093806345
142	0.9088838753
143	0.9057542445
144	0.9039242253
145	0.9031279734
146	0.9014756
147	0.9008017504
148	0.8982657806
149	0.8941617628
150	0.8929545268
151	0.8925885026
152	0.890618088
153	0.8902653181
154	0.888950446
155	0.8884155565
156	0.8869819845
157	0.8862655737
158	0.8859631833
159	0.8824888318
160	0.8787092056
161	0.877707161
162	0.8767549421
163	0.8760635312
164	0.8751519575
165	0.8720115637
166	0.87104428
167	0.8708051456
168	0.8696418739
169	0.8653557527
170	0.8634231781
171	0.8610046009
172	0.859866444
173	0.8590006393
174	0.8588562228
175	0.8576918751
176	0.8553476527
177	0.8539434603
178	0.8483738836
179	0.8473093466
180	0.8464139361
181	0.8444338294
182	0.8418639555
183	0.8409379291
184	0.8408829212
185	0.839987071
186	0.8384540145
187	0.8368573398
188	0.8362972652
189	0.8340949083
190	0.8334269131
191	0.8331806807
192	0.8330772956
193	0.8322460986
194	0.8303945988
195	0.8301916343
196	0.8292812057
197	0.8289934706
198	0.8279703942
199	0.8276384978
200	0.8257266377
201	0.8234364364
202	0.8219118761
203	0.8217791382
204	0.8210090843
205	0.8201555629
206	0.8197052125
207	0.8179015361
208	0.8165829207
209	0.8158720559
210	0.8140724599
211	0.8131425938
212	0.8122676236
213	0.8114019094
214	0.8105283666
215	0.8094803584
216	0.8073831117
217	0.8073601925
218	0.8064813676
219	0.8055401524
220	0.8050663234
221	0.8049034838
222	0.8041611952
