iter	Passed	Remaining
0	65	65213
1	71	35636
2	78	26216
3	84	21112
4	91	18208
5	94	15691
6	97	13829
7	100	12455
8	104	11549
9	109	10848
10	112	10122
11	115	9537
12	123	9349
13	127	8946
14	131	8652
15	137	8468
16	141	8177
17	144	7908
18	149	7702
19	155	7626
20	159	7446
21	163	7247
22	168	7171
23	171	6969
24	176	6889
25	185	6935
26	191	6914
27	205	7120
28	216	7232
29	225	7291
30	242	7579
31	278	8429
32	335	9822
33	346	9852
34	362	9982
35	371	9949
36	380	9903
37	394	9981
38	400	9866
39	412	9907
40	425	9952
41	430	9829
42	443	9880
43	457	9943
44	470	9990
45	486	10079
46	492	9976
47	504	10015
48	520	10096
49	535	10177
50	551	10261
51	569	10391
52	588	10520
53	603	10572
54	623	10709
55	630	10633
56	640	10598
57	651	10581
58	661	10550
59	670	10509
60	692	10660
61	701	10614
62	717	10668
63	732	10706
64	744	10715
65	751	10629
66	762	10617
67	768	10534
68	780	10528
69	791	10513
70	802	10506
71	814	10500
72	825	10481
73	828	10370
74	835	10299
75	844	10266
76	852	10214
77	863	10210
78	872	10172
79	879	10119
80	897	10182
81	907	10156
82	914	10106
83	926	10107
84	940	10127
85	949	10092
86	956	10036
87	967	10023
88	976	9994
89	989	10000
90	1001	10006
91	1011	9986
92	1019	9947
93	1028	9909
94	1032	9840
95	1036	9764
96	1044	9719
97	1053	9693
98	1061	9661
99	1069	9623
100	1077	9588
101	1124	9900
102	1286	11207
103	1367	11779
104	1399	11925
105	1430	12068
106	1435	11977
107	1440	11896
108	1446	11820
109	1452	11748
110	1462	11710
111	1468	11641
112	1496	11744
113	1506	11711
114	1518	11684
115	1529	11654
116	1542	11641
117	1559	11655
118	1577	11681
119	1586	11637
120	1595	11591
121	1609	11581
122	1618	11536
123	1629	11511
124	1649	11544
125	1658	11505
126	1668	11470
127	1677	11427
128	1688	11399
129	1702	11392
130	1725	11447
131	1735	11412
132	1743	11363
133	1748	11298
134	1759	11273
135	1765	11219
136	1780	11218
137	1791	11190
138	1799	11146
139	1828	11234
140	1880	11458
141	1891	11426
142	1898	11376
143	1911	11360
144	1923	11344
145	1939	11343
146	1966	11413
147	1994	11483
148	2006	11460
149	2016	11426
150	2033	11430
151	2040	11383
152	2050	11351
153	2064	11341
154	2075	11316
155	2086	11286
156	2098	11268
157	2108	11238
158	2112	11176
159	2124	11151
160	2128	11092
161	2136	11053
162	2142	11002
163	2153	10978
164	2176	11011
165	2188	10993
166	2195	10949
167	2205	10921
168	2217	10902
169	2222	10850
170	2226	10792
171	2233	10749
172	2237	10697
173	2245	10659
174	2254	10629
175	2262	10591
176	2265	10534
177	2270	10483
178	2275	10436
179	2279	10384
180	2282	10329
181	2287	10282
182	2293	10239
183	2296	10186
184	2300	10133
185	2305	10089
186	2309	10042
187	2313	9993
188	2318	9949
189	2323	9907
190	2327	9856
191	2330	9807
192	2335	9767
193	2341	9726
194	2344	9677
195	2348	9632
196	2353	9594
197	2357	9550
198	2364	9516
199	2373	9492
200	2380	9462
201	2387	9431
202	2397	9413
203	2403	9377
204	2406	9333
205	2419	9326
206	2427	9298
207	2432	9263
208	2435	9219
209	2440	9182
210	2446	9149
211	2449	9104
212	2452	9061
213	2459	9032
214	2463	8993
215	2467	8955
216	2472	8922
217	2479	8894
218	2484	8860
219	2491	8833
220	2496	8799
221	2499	8760
222	2505	8730
223	2510	8696
224	2513	8657
225	2517	8621
226	2522	8588
227	2526	8555
228	2529	8516
229	2533	8481
230	2538	8449
231	2541	8412
232	2544	8376
233	2549	8344
234	2555	8319
235	2560	8287
236	2566	8262
237	2575	8245
238	2586	8236
239	2590	8201
240	2593	8168
241	2599	8143
242	2607	8123
243	2614	8100
244	2620	8076
245	2623	8042
246	2670	8140
247	2715	8233
248	2722	8212
249	2730	8192
250	2739	8173
251	2745	8148
252	2771	8183
253	2784	8177
254	2788	8147
255	2795	8124
256	2802	8103
257	2807	8075
258	2814	8053
259	2817	8020
260	2821	7989
261	2827	7963
262	2832	7938
263	2836	7909
264	2843	7886
265	2847	7856
266	2850	7826
267	2855	7798
268	2860	7773
269	2864	7745
270	2867	7714
271	2874	7693
272	2878	7666
273	2882	7636
274	2886	7609
275	2891	7584
276	2895	7557
277	2899	7529
278	2904	7505
279	2908	7478
280	2911	7449
281	2914	7420
282	2919	7397
283	2923	7369
284	2926	7340
285	2929	7314
286	2936	7294
287	2939	7267
288	2945	7245
289	2951	7225
290	2954	7198
291	2958	7173
292	2968	7161
293	2973	7140
294	2986	7136
295	2991	7113
296	3003	7110
297	3014	7100
298	3026	7096
299	3044	7102
300	3056	7098
301	3069	7095
302	3081	7089
303	3094	7083
304	3102	7070
305	3117	7069
306	3129	7064
307	3142	7060
308	3158	7062
309	3167	7050
310	3178	7040
311	3194	7044
312	3217	7062
313	3229	7055
314	3245	7057
315	3264	7066
316	3275	7056
317	3287	7050
318	3299	7044
319	3397	7219
320	3412	7217
321	3419	7200
322	3430	7189
323	3440	7179
324	3451	7168
325	3463	7160
326	3473	7149
327	3483	7136
328	3494	7127
329	3505	7117
330	3520	7115
331	3533	7109
332	3543	7097
333	3556	7090
334	3566	7079
335	3580	7076
336	3610	7103
337	3618	7086
338	3627	7073
339	3649	7083
340	3656	7065
341	3665	7052
342	3672	7033
343	3678	7015
344	3688	7002
345	3699	6991
346	3709	6979
347	3715	6961
348	3724	6947
349	3729	6926
350	3742	6920
351	3754	6911
352	3769	6908
353	3777	6894
354	3798	6901
355	3818	6907
356	3834	6905
357	3867	6935
358	3879	6927
359	3889	6914
360	3897	6899
361	3902	6878
362	3909	6860
363	3916	6842
364	3922	6823
365	3928	6804
366	3932	6782
367	3936	6759
368	3940	6739
369	3946	6719
370	3949	6696
371	3952	6673
372	3958	6653
373	3961	6631
374	3966	6610
375	3974	6596
376	3986	6587
377	3993	6570
378	4001	6556
379	4005	6535
380	4013	6519
381	4017	6499
382	4023	6481
383	4030	6465
384	4035	6446
385	4043	6432
386	4048	6413
387	4053	6394
388	4060	6378
389	4066	6359
390	4071	6341
391	4078	6325
392	4084	6308
393	4094	6297
394	4101	6281
395	4107	6265
396	4116	6252
397	4123	6237
398	4135	6229
399	4149	6224
400	4163	6219
401	4175	6211
402	4208	6233
403	4260	6284
404	4290	6303
405	4322	6323
406	4329	6308
407	4337	6294
408	4345	6279
409	4353	6265
410	4361	6250
411	4366	6231
412	4370	6212
413	4375	6193
414	4381	6175
415	4384	6155
416	4389	6136
417	4394	6118
418	4397	6098
