iter	RMSE	R2
0	2.175989468	0.007401705534
1	2.137323817	0.01437286097
2	2.094753481	0.02180513083
3	2.057200719	0.02851419155
4	2.02571704	0.03451299257
5	1.988804358	0.04437076011
6	1.953764356	0.05159073509
7	1.924748636	0.05782052453
8	1.894573074	0.06509515178
9	1.85925322	0.07359163434
10	1.827482416	0.08088684662
11	1.798773928	0.089752973
12	1.773218427	0.09538928441
13	1.748629748	0.1008328477
14	1.724514786	0.1081393754
15	1.699436551	0.1152575957
16	1.675294553	0.1233977687
17	1.649948706	0.1319475203
18	1.625845003	0.1394418795
19	1.605059464	0.1455892809
20	1.584083494	0.1511805881
21	1.561929594	0.1599998892
22	1.542601415	0.1678991233
23	1.523423905	0.1739816449
24	1.504732454	0.1794596173
25	1.485520697	0.1870097509
26	1.466143566	0.1967142978
27	1.447877794	0.2061624821
28	1.430071726	0.2131375724
29	1.413524746	0.2194297908
30	1.397049222	0.2268282835
31	1.381678224	0.2333431945
32	1.366649708	0.2397070749
33	1.352727879	0.2452889308
34	1.338909812	0.2504679858
35	1.327376308	0.2555247935
36	1.314920135	0.2615366923
37	1.304323225	0.2662656241
38	1.293244979	0.2717782929
39	1.283523575	0.2758721909
40	1.273386917	0.2807491736
41	1.261275259	0.2881338187
42	1.249654971	0.2958511176
43	1.24120083	0.3000489923
44	1.230356941	0.3068766176
45	1.220464491	0.3132055374
46	1.211879346	0.3185074498
47	1.203338863	0.3228110406
48	1.194287605	0.3289422422
49	1.185138444	0.3344666507
50	1.177965263	0.3393088786
51	1.171267473	0.3430499483
52	1.163835327	0.3476941851
53	1.156838521	0.3525661227
54	1.14978664	0.3567170113
55	1.143362518	0.3613612136
56	1.135571033	0.3673537359
57	1.12933711	0.3711649395
58	1.123555087	0.3748629547
59	1.117222397	0.379241375
60	1.111878392	0.3828462254
61	1.106959407	0.3858725611
62	1.101188305	0.3899986733
63	1.095811658	0.3933954009
64	1.091016396	0.3970186417
65	1.085449505	0.4012290637
66	1.07876056	0.4071458529
67	1.073813203	0.4109852444
68	1.06872598	0.4149017217
69	1.062188307	0.4206417056
70	1.056787032	0.4250089462
71	1.052187283	0.4287411321
72	1.04873448	0.431210451
73	1.045494533	0.4334602203
74	1.042740352	0.4353193052
75	1.038498826	0.4385843277
76	1.03356967	0.442962664
77	1.030694139	0.4448603557
78	1.027836008	0.4469059917
79	1.024983245	0.4488453115
80	1.020750618	0.4526209269
81	1.017613414	0.4552008255
82	1.015473297	0.4568058432
83	1.011072752	0.4607752261
84	1.004776794	0.4668673086
85	1.002540123	0.4686311211
86	1.000823916	0.4697158281
87	0.9983017796	0.4718095494
88	0.9956549564	0.47399506
89	0.9879377011	0.4814600679
90	0.9837742045	0.4853925745
91	0.9797231698	0.4891774819
92	0.978177015	0.4902281418
93	0.9761560934	0.4918080835
94	0.9749046685	0.4925996514
95	0.9720782336	0.4952528861
96	0.9693132668	0.4976652324
97	0.9668401576	0.4998140241
98	0.9653458405	0.5009733938
