iter	Passed	Remaining
0	87	87721
1	118	59189
2	194	64776
3	208	51801
4	211	42143
5	217	35951
6	220	31299
7	225	27948
8	229	25300
9	233	23111
10	236	21287
11	243	20066
12	248	18833
13	251	17700
14	255	16786
15	259	15945
16	264	15285
17	269	14683
18	274	14148
19	279	13697
20	282	13169
21	286	12753
22	290	12336
23	295	12015
24	298	11633
25	302	11339
26	306	11030
27	313	10894
28	317	10640
29	321	10398
30	327	10238
31	330	10010
32	335	9840
33	339	9640
34	343	9465
35	346	9283
36	351	9136
37	354	8977
38	359	8855
39	363	8718
40	367	8606
41	371	8469
42	380	8469
43	384	8344
44	401	8523
45	407	8441
46	411	8343
47	414	8216
48	418	8130
49	424	8059
50	428	7977
51	432	7890
52	438	7828
53	445	7804
54	452	7781
55	466	7859
56	475	7867
57	480	7808
58	490	7815
59	493	7732
60	499	7686
61	503	7613
62	506	7526
63	509	7453
64	512	7368
65	516	7303
66	519	7238
67	523	7171
68	526	7098
69	529	7033
70	533	6978
71	535	6899
72	537	6824
73	539	6751
74	541	6678
75	543	6612
76	547	6558
77	550	6502
78	552	6444
79	555	6392
80	557	6328
81	561	6287
82	566	6263
83	570	6224
84	573	6176
85	575	6121
86	580	6087
87	582	6031
88	583	5976
89	585	5923
90	587	5870
91	589	5822
92	593	5788
93	596	5752
94	598	5704
95	602	5674
96	604	5626
97	607	5592
98	610	5556
99	613	5518
100	617	5495
101	619	5452
102	620	5405
103	624	5377
104	627	5346
105	629	5305
106	631	5266
107	633	5229
108	635	5191
109	636	5153
110	640	5127
111	643	5104
112	646	5072
113	648	5040
114	650	5006
115	653	4978
116	656	4951
117	658	4920
118	660	4887
119	662	4855
120	664	4824
121	666	4797
122	670	4779
123	672	4750
124	675	4725
125	678	4708
126	680	4679
127	683	4654
128	686	4636
129	688	4609
130	691	4583
131	692	4554
132	694	4527
133	696	4500
134	699	4481
135	702	4461
136	706	4447
137	709	4431
138	711	4406
139	714	4390
140	718	4375
141	721	4359
142	724	4342
143	726	4319
144	728	4297
145	733	4287
146	735	4266
147	736	4241
148	738	4220
149	740	4198
150	742	4177
151	746	4162
152	748	4142
153	752	4134
154	756	4123
155	758	4103
156	761	4091
157	765	4079
158	767	4058
159	770	4044
160	772	4025
161	773	4002
162	776	3988
163	779	3972
164	782	3958
165	786	3953
166	789	3936
167	791	3921
168	793	3903
169	795	3885
170	797	3864
171	799	3846
172	801	3829
173	802	3811
174	804	3793
175	807	3778
176	810	3770
177	813	3758
178	816	3743
179	818	3727
180	819	3709
181	822	3695
182	825	3685
183	830	3682
184	833	3673
185	835	3657
186	838	3647
187	841	3636
188	848	3640
189	852	3634
190	856	3628
191	860	3619
192	862	3606
193	864	3590
194	866	3575
195	868	3563
196	872	3554
197	877	3555
198	879	3541
199	883	3533
200	887	3526
201	891	3523
202	895	3517
203	899	3508
204	902	3499
205	906	3492
206	907	3478
207	910	3465
208	912	3451
209	914	3441
210	928	3470
211	930	3459
212	933	3450
213	937	3443
214	941	3436
215	945	3431
216	948	3422
217	953	3419
218	973	3469
219	1021	3621
220	1047	3693
221	1054	3695
222	1061	3699
223	1069	3706
224	1076	3706
225	1082	3708
226	1087	3704
227	1094	3705
228	1101	3708
229	1107	3708
230	1110	3696
231	1115	3691
232	1127	3711
233	1141	3736
234	1149	3741
235	1159	3753
236	1168	3761
237	1172	3754
238	1177	3748
239	1184	3751
240	1194	3762
241	1199	3758
242	1205	3755
243	1211	3754
244	1218	3754
245	1222	3747
246	1245	3797
247	1267	3842
248	1272	3837
249	1276	3829
250	1297	3871
251	1300	3861
252	1304	3851
253	1309	3845
254	1311	3831
255	1314	3820
256	1317	3810
257	1320	3798
258	1322	3784
259	1325	3771
260	1327	3757
261	1329	3744
262	1333	3737
263	1337	3727
264	1341	3721
265	1344	3710
266	1350	3707
267	1354	3700
268	1359	3694
269	1361	3679
270	1363	3668
271	1365	3655
272	1368	3644
273	1370	3631
274	1373	3621
275	1375	3607
276	1376	3593
277	1379	3583
278	1381	3570
279	1383	3558
280	1385	3545
281	1388	3534
282	1390	3522
283	1391	3509
284	1394	3497
285	1396	3485
286	1397	3472
287	1399	3459
288	1401	3447
289	1404	3438
290	1407	3429
291	1410	3419
292	1413	3409
293	1415	3398
294	1417	3388
295	1419	3376
296	1421	3365
297	1425	3358
298	1428	3348
299	1430	3338
300	1433	3329
301	1435	3318
302	1438	3308
303	1445	3309
304	1448	3301
305	1450	3289
306	1452	3278
307	1455	3270
308	1459	3263
309	1465	3261
310	1467	3250
311	1470	3243
312	1474	3235
313	1478	3230
314	1481	3221
315	1483	3211
316	1486	3203
317	1489	3194
318	1492	3186
319	1494	3175
320	1496	3165
321	1498	3155
322	1501	3147
323	1504	3138
324	1508	3132
325	1512	3126
326	1514	3117
327	1518	3110
328	1520	3100
329	1528	3104
330	1533	3098
331	1536	3091
332	1542	3090
333	1549	3090
334	1556	3090
335	1582	3126
336	1589	3126
337	1601	3136
338	1605	3130
339	1610	3126
340	1638	3165
341	1648	3170
342	1658	3177
343	1663	3172
344	1671	3173
345	1676	3168
346	1680	3162
347	1686	3160
348	1689	3151
349	1692	3143
350	1696	3135
351	1699	3128
352	1703	3121
353	1705	3112
354	1707	3103
355	1710	3093
356	1713	3086
357	1716	3078
358	1719	3071
359	1721	3061
360	1724	3052
361	1727	3044
362	1730	3037
363	1734	3030
364	1735	3019
365	1737	3010
366	1741	3003
367	1744	2995
368	1747	2988
369	1750	2981
370	1753	2972
371	1756	2965
372	1760	2958
373	1763	2950
374	1766	2944
375	1768	2935
376	1772	2928
377	1774	2919
378	1777	2912
379	1780	2905
380	1782	2896
381	1785	2888
382	1788	2880
383	1791	2873
384	1793	2865
385	1795	2856
386	1798	2848
387	1801	2841
388	1804	2834
389	1807	2827
390	1810	2819
391	1813	2812
392	1816	2806
393	1819	2798
394	1821	2789
395	1823	2781
396	1825	2773
397	1828	2765
398	1830	2757
399	1834	2751
400	1839	2747
401	1844	2744
402	1854	2747
403	1858	2741
404	1872	2750
405	1889	2764
406	1898	2765
407	1904	2762
408	1907	2755
409	1910	2749
410	1913	2741
411	1917	2736
412	1923	2733
413	1924	2724
414	1927	2717
415	1930	2710
416	1983	2772
417	2011	2800
418	2114	2932
419	2123	2932
420	2125	2923
421	2130	2917
422	2133	2910
423	2135	2901
424	2139	2894
425	2141	2885
426	2145	2879
427	2148	2871
428	2152	2864
429	2157	2859
430	2162	2854
431	2165	2847
432	2168	2839
433	2171	2831
434	2174	2824
435	2177	2816
436	2180	2808
437	2182	2800
438	2186	2793
439	2188	2785
440	2190	2776
441	2191	2766
442	2193	2757
443	2196	2750
444	2197	2740
445	2201	2734
446	2207	2731
447	2211	2724
448	2213	2716
449	2215	2707
450	2217	2699
451	2220	2691
452	2222	2683
453	2224	2674
454	2229	2670
455	2231	2662
456	2233	2654
457	2236	2647
458	2238	2638
459	2241	2630
460	2243	2622
461	2245	2615
462	2247	2607
463	2250	2599
464	2252	2591
465	2254	2583
466	2256	2575
467	2258	2566
468	2260	2558
469	2261	2550
470	2263	2542
471	2265	2534
472	2267	2526
473	2269	2518
474	2271	2510
475	2273	2503
476	2276	2495
477	2278	2488
478	2281	2481
479	2283	2473
480	2285	2465
481	2287	2457
482	2289	2450
483	2291	2442
484	2293	2434
485	2295	2427
486	2296	2419
487	2298	2411
488	2300	2404
489	2302	2396
490	2304	2388
491	2306	2381
492	2309	2374
493	2311	2367
494	2313	2359
495	2314	2352
496	2316	2344
497	2318	2337
498	2320	2329
499	2322	2322
500	2324	2315
501	2326	2308
502	2328	2300
503	2331	2294
504	2334	2288
505	2336	2280
506	2339	2274
507	2341	2267
508	2344	2261
509	2347	2255
510	2350	2249
511	2352	2242
512	2355	2236
513	2358	2230
514	2360	2223
515	2363	2216
516	2365	2210
517	2374	2209
518	2376	2202
519	2379	2196
520	2382	2190
521	2385	2184
522	2388	2178
523	2391	2172
524	2394	2166
525	2395	2159
526	2406	2159
527	2410	2154
528	2412	2147
529	2414	2141
530	2416	2134
531	2418	2127
532	2420	2120
533	2422	2114
534	2424	2107
535	2426	2100
536	2428	2094
537	2430	2087
538	2432	2080
539	2434	2074
540	2436	2067
541	2438	2060
542	2440	2053
543	2442	2047
544	2444	2040
545	2446	2033
546	2448	2027
547	2450	2021
548	2452	2014
549	2454	2008
550	2456	2001
551	2459	1996
552	2461	1989
553	2463	1983
554	2465	1977
555	2467	1970
556	2469	1964
557	2471	1957
558	2473	1951
559	2475	1945
560	2478	1939
561	2480	1932
562	2482	1926
563	2484	1920
564	2486	1914
565	2488	1908
566	2490	1901
567	2492	1895
568	2494	1889
569	2496	1883
570	2499	1877
571	2500	1871
572	2502	1864
573	2504	1858
574	2506	1852
575	2507	1846
576	2510	1840
577	2512	1834
578	2514	1828
579	2516	1821
580	2517	1815
581	2519	1809
582	2522	1803
583	2523	1797
584	2525	1791
585	2527	1785
586	2529	1779
587	2531	1773
588	2532	1767
589	2534	1761
590	2536	1755
591	2538	1749
592	2540	1743
593	2542	1737
594	2544	1731
595	2545	1725
596	2547	1719
597	2549	1713
598	2551	1708
599	2553	1702
600	2555	1696
601	2557	1690
602	2559	1684
603	2560	1678
604	2562	1673
605	2564	1667
606	2566	1661
607	2568	1655
608	2569	1649
609	2571	1644
610	2573	1638
611	2575	1633
612	2577	1627
613	2579	1621
614	2581	1616
615	2583	1610
616	2585	1605
617	2587	1599
618	2589	1593
619	2590	1587
620	2592	1582
621	2594	1576
