DT,GR,NPHI,RHOB,PHIe,Vclay,Perm
79.2833,56.0969,0.151,2.4348,0.1454,0.0902,35
79.1141,54.6392,0.1523,2.4399,0.1451,0.0908,8.1
78.1608,58.5812,0.1456,2.4386,0.1404,0.0971,6.6
78.329,54.3608,0.1597,2.4465,0.1463,0.1101,1.7
64.7678,62.9833,0.1068,2.5883,0.0711,0.211,0.08
63.671,56.3129,0.0608,2.6367,0.0388,0.1419,0.07
63.6729,47.1275,0.0732,2.6202,0.0543,0.1065,0.08
70.398,49.3326,0.1231,2.503,0.114,0.0812,7.9
77.6104,54.801,0.1525,2.4534,0.1406,0.1063,12
76.8927,57.6066,0.138,2.431,0.1402,0.07,13
76.9828,56.4597,0.1388,2.4302,0.1414,0.0647,13
76.7091,59.9296,0.1543,2.4331,0.1452,0.1145,9.67
77.2998,54.6582,0.1484,2.4441,0.142,0.0884,16
77.6112,54.1454,0.1446,2.4483,0.1392,0.0833,11
77.6747,54.4006,0.1465,2.4448,0.141,0.0844,6
71.5159,56.0511,0.1018,2.5907,0.0723,0.1664,0.11
79.7629,60.9911,0.1333,2.4879,0.1172,0.1405,154
77.0345,58.9435,0.1639,2.4353,0.1493,0.129,123
74.6824,56.9355,0.1248,2.5432,0.0976,0.1623,8.5
76.6301,61.0192,0.1263,2.519,0.1038,0.1611,0.18
82.4478,72.1353,0.1469,2.5414,0.0974,0.2962,69
81.5514,83.8756,0.1642,2.6301,0.0643,0.5282,0.92
82.2071,78.9952,0.1375,2.6216,0.0605,0.4222,0.08
79.9842,68.7543,0.1573,2.5008,0.1181,0.2471,7.9
79.8636,66.9916,0.1682,2.4956,0.126,0.2495,4.9
79.812,64.6856,0.1711,2.4724,0.1365,0.2152,4.9
78.8443,61.7124,0.1598,2.436,0.1456,0.1376,0.34
80.5834,54.7215,0.1656,2.4451,0.1492,0.121,77
82.1075,57.9264,0.1721,2.4493,0.1489,0.1535,24
82.4586,60.6916,0.1769,2.4459,0.1505,0.1737,19
80.3176,61.2709,0.1585,2.4397,0.144,0.1367,15
79.4022,59.4178,0.1369,2.4826,0.1215,0.1327,0.18
79.1705,66.7538,0.1399,2.5684,0.0897,0.2738,4.4
78.841,54.7097,0.1551,2.429,0.1499,0.0846,16
78.1737,57.3947,0.1502,2.4068,0.1537,0.0653,54
77.8571,62.9257,0.1544,2.4317,0.1439,0.1304,6.1
78.4547,52.9852,0.1517,2.4458,0.1437,0.0883,33
78.9179,52.5104,0.1429,2.4398,0.1421,0.0638,16
77.8729,61.1019,0.1519,2.4761,0.1292,0.1626,12
77.4773,62.4703,0.1461,2.5031,0.1168,0.1886,9.97
78.2432,58.8746,0.1476,2.4834,0.1263,0.1502,0.31
78.0468,63.3732,0.1485,2.497,0.1193,0.1921,7.7
67.5159,53.7627,0.0724,2.5735,0.0662,0.0833,0.73
65.8811,52.1133,0.0643,2.6319,0.0442,0.1234,9.8
73.0684,59.8009,0.1291,2.5154,0.107,0.1555,82
77.6376,58.7805,0.1468,2.4871,0.1247,0.1522,0.05
79.5907,77.1331,0.1587,2.6023,0.0782,0.4234,6.1
82.3971,65.5064,0.167,2.4626,0.1374,0.2025,0.88
82.1565,60.6382,0.1636,2.4777,0.1342,0.1831,0.69
81.4448,59.6877,0.1678,2.4715,0.1386,0.1788,38
81.2728,60.4917,0.1673,2.4548,0.1434,0.1646,0.37
80.424,72.184,0.166,2.486,0.124,0.2722,2.3
78.8051,59.1488,0.1677,2.469,0.1397,0.1729,28
79.6846,60.8369,0.1682,2.4567,0.143,0.17,0.82
80.4304,63.9679,0.1656,2.4681,0.136,0.1961,1.8
80.6134,65.6556,0.171,2.5115,0.123,0.2629,9.1
81.07,64.8211,0.1735,2.4904,0.1316,0.2396,9.7
79.6098,65.6617,0.1688,2.4807,0.1321,0.226,1.54
77.9933,66.4547,0.1669,2.4841,0.1295,0.2312,23
78.4844,57.7474,0.1808,2.5498,0.1205,0.2758,0.6
80.4429,65.2678,0.1818,2.4678,0.1424,0.2335,6.9
80.3621,66.099,0.1773,2.465,0.1407,0.2276,0.04
78.8749,61.0585,0.1726,2.485,0.1355,0.2095,0.42
79.6899,56.7664,0.1714,2.4861,0.1372,0.1855,0.32
82.1076,70.8993,0.1753,2.4659,0.1358,0.2582,3.4
77.3693,66.2033,0.1638,2.4766,0.1308,0.2159,0.76
79.6799,76.1937,0.1791,2.5516,0.1048,0.3985,0.4
79.8702,84.5359,0.1846,2.6359,0.0712,0.5788,0.03
80.9646,83.5024,0.1729,2.6367,0.0667,0.5473,0.23
86.2669,84.8296,0.21,2.6381,0.0825,0.6308,0.01
88.1466,88.6884,0.202,2.6494,0.0697,0.6733,0.05
85.7615,92.8805,0.1911,2.6485,0.0579,0.7092,1.7
84.7743,89.0497,0.1863,2.6444,0.063,0.6438,0.01
85.7999,82.5103,0.1826,2.6446,0.07,0.5631,0.08
85.9277,84.8314,0.1838,2.637,0.0701,0.5818,1.4
87.4311,84.1135,0.1947,2.6339,0.0772,0.5906,0.01
88.2346,91.4117,0.2089,2.6211,0.0774,0.6914,0.09
